Negative,Positive,Uncertainty
ABANDON,ABUNDANCE,ABEYANCES
ABANDONED,ABUNDANT,ALMOST
ABANDONING,ACCLAIMED,ALTERATION
ABANDONMENT,ACCOMPLISH,ALTERATIONS
ABANDONMENTS,ACCOMPLISHED,AMBIGUITIES
ABANDONS,ACCOMPLISHES,AMBIGUITY
ABDICATED,ACCOMPLISHING,AMBIGUOUS
ABDICATES,ACCOMPLISHMENT,ANOMALIES
ABDICATING,ACCOMPLISHMENTS,ANOMALOUS
ABDICATION,ACHIEVE,ANOMALOUSLY
ABDICATIONS,ACHIEVED,ANOMALY
ABERRANT,ACHIEVEMENT,ANTICIPATE
ABERRATION,ACHIEVEMENTS,ANTICIPATED
ABERRATIONAL,ACHIEVES,ANTICIPATES
ABERRATIONS,ACHIEVING,ANTICIPATING
ABETTING,ADEQUATELY,ANTICIPATION
ABNORMAL,ADVANCEMENT,ANTICIPATIONS
ABNORMALITIES,ADVANCEMENTS,APPARENT
ABNORMALITY,ADVANCES,APPARENTLY
ABNORMALLY,ADVANCING,APPEAR
ABOLISH,ADVANTAGE,APPEARED
ABOLISHED,ADVANTAGED,APPEARING
ABOLISHES,ADVANTAGEOUS,APPEARS
ABOLISHING,ADVANTAGEOUSLY,APPROXIMATE
ABROGATE,ADVANTAGES,APPROXIMATED
ABROGATED,ALLIANCE,APPROXIMATELY
ABROGATES,ALLIANCES,APPROXIMATES
ABROGATING,ASSURE,APPROXIMATING
ABROGATION,ASSURED,APPROXIMATION
ABROGATIONS,ASSURES,APPROXIMATIONS
ABRUPT,ASSURING,ARBITRARILY
ABRUPTLY,ATTAIN,ARBITRARINESS
ABRUPTNESS,ATTAINED,ARBITRARY
ABSENCE,ATTAINING,ASSUME
ABSENCES,ATTAINMENT,ASSUMED
ABSENTEEISM,ATTAINMENTS,ASSUMES
ABUSE,ATTAINS,ASSUMING
ABUSED,ATTRACTIVE,ASSUMPTION
ABUSES,ATTRACTIVENESS,ASSUMPTIONS
ABUSING,BEAUTIFUL,BELIEVE
ABUSIVE,BEAUTIFULLY,BELIEVED
ABUSIVELY,BENEFICIAL,BELIEVES
ABUSIVENESS,BENEFICIALLY,BELIEVING
ACCIDENT,BENEFIT,CAUTIOUS
ACCIDENTAL,BENEFITED,CAUTIOUSLY
ACCIDENTALLY,BENEFITING,CAUTIOUSNESS
ACCIDENTS,BENEFITTED,CLARIFICATION
ACCUSATION,BENEFITTING,CLARIFICATIONS
ACCUSATIONS,BEST,CONCEIVABLE
ACCUSE,BETTER,CONCEIVABLY
ACCUSED,BOLSTERED,CONDITIONAL
ACCUSES,BOLSTERING,CONDITIONALLY
ACCUSING,BOLSTERS,CONFUSES
ACQUIESCE,BOOM,CONFUSING
ACQUIESCED,BOOMING,CONFUSINGLY
ACQUIESCES,BOOST,CONFUSION
ACQUIESCING,BOOSTED,CONTINGENCIES
ACQUIT,BREAKTHROUGH,CONTINGENCY
ACQUITS,BREAKTHROUGHS,CONTINGENT
ACQUITTAL,BRILLIANT,CONTINGENTLY
ACQUITTALS,CHARITABLE,CONTINGENTS
ACQUITTED,COLLABORATE,COULD
ACQUITTING,COLLABORATED,CROSSROAD
ADULTERATE,COLLABORATES,CROSSROADS
ADULTERATED,COLLABORATING,DEPEND
ADULTERATING,COLLABORATION,DEPENDED
ADULTERATION,COLLABORATIONS,DEPENDENCE
ADULTERATIONS,COLLABORATIVE,DEPENDENCIES
ADVERSARIAL,COLLABORATOR,DEPENDENCY
ADVERSARIES,COLLABORATORS,DEPENDENT
ADVERSARY,COMPLIMENT,DEPENDING
ADVERSE,COMPLIMENTARY,DEPENDS
ADVERSELY,COMPLIMENTED,DESTABILIZING
ADVERSITIES,COMPLIMENTING,DEVIATE
ADVERSITY,COMPLIMENTS,DEVIATED
AFTERMATH,CONCLUSIVE,DEVIATES
AFTERMATHS,CONCLUSIVELY,DEVIATING
AGAINST,CONDUCIVE,DEVIATION
AGGRAVATE,CONFIDENT,DEVIATIONS
AGGRAVATED,CONSTRUCTIVE,DIFFER
AGGRAVATES,CONSTRUCTIVELY,DIFFERED
AGGRAVATING,COURTEOUS,DIFFERING
AGGRAVATION,CREATIVE,DIFFERS
AGGRAVATIONS,CREATIVELY,DOUBT
ALERTED,CREATIVENESS,DOUBTED
ALERTING,CREATIVITY,DOUBTFUL
ALIENATE,DELIGHT,DOUBTS
ALIENATED,DELIGHTED,EXPOSURE
ALIENATES,DELIGHTFUL,EXPOSURES
ALIENATING,DELIGHTFULLY,FLUCTUATE
ALIENATION,DELIGHTING,FLUCTUATED
ALIENATIONS,DELIGHTS,FLUCTUATES
ALLEGATION,DEPENDABILITY,FLUCTUATING
ALLEGATIONS,DEPENDABLE,FLUCTUATION
ALLEGE,DESIRABLE,FLUCTUATIONS
ALLEGED,DESIRED,HIDDEN
ALLEGEDLY,DESPITE,HINGES
ALLEGES,DESTINED,IMPRECISE
ALLEGING,DILIGENT,IMPRECISION
ANNOY,DILIGENTLY,IMPRECISIONS
ANNOYANCE,DISTINCTION,IMPROBABILITY
ANNOYANCES,DISTINCTIONS,IMPROBABLE
ANNOYED,DISTINCTIVE,INCOMPLETENESS
ANNOYING,DISTINCTIVELY,INDEFINITE
ANNOYS,DISTINCTIVENESS,INDEFINITELY
ANNUL,DREAM,INDEFINITENESS
ANNULLED,EASIER,INDETERMINABLE
ANNULLING,EASILY,INDETERMINATE
ANNULMENT,EASY,INEXACT
ANNULMENTS,EFFECTIVE,INEXACTNESS
ANNULS,EFFICIENCIES,INSTABILITIES
ANOMALIES,EFFICIENCY,INSTABILITY
ANOMALOUS,EFFICIENT,INTANGIBLE
ANOMALOUSLY,EFFICIENTLY,INTANGIBLES
ANOMALY,EMPOWER,LIKELIHOOD
ANTICOMPETITIVE,EMPOWERED,MAY
ANTITRUST,EMPOWERING,MAYBE
ARGUE,EMPOWERS,MIGHT
ARGUED,ENABLE,NEARLY
ARGUING,ENABLED,NONASSESSABLE
ARGUMENT,ENABLES,OCCASIONALLY
ARGUMENTATIVE,ENABLING,ORDINARILY
ARGUMENTS,ENCOURAGED,PENDING
ARREARAGE,ENCOURAGEMENT,PERHAPS
ARREARAGES,ENCOURAGES,POSSIBILITIES
ARREARS,ENCOURAGING,POSSIBILITY
ARREST,ENHANCE,POSSIBLE
ARRESTED,ENHANCED,POSSIBLY
ARRESTS,ENHANCEMENT,PRECAUTION
ARTIFICIALLY,ENHANCEMENTS,PRECAUTIONARY
ASSAULT,ENHANCES,PRECAUTIONS
ASSAULTED,ENHANCING,PREDICT
ASSAULTING,ENJOY,PREDICTABILITY
ASSAULTS,ENJOYABLE,PREDICTED
ASSERTIONS,ENJOYABLY,PREDICTING
ATTRITION,ENJOYED,PREDICTION
AVERSELY,ENJOYING,PREDICTIONS
BACKDATING,ENJOYMENT,PREDICTIVE
BAD,ENJOYS,PREDICTOR
BAIL,ENTHUSIASM,PREDICTORS
BAILOUT,ENTHUSIASTIC,PREDICTS
BALK,ENTHUSIASTICALLY,PRELIMINARILY
BALKED,EXCELLENCE,PRELIMINARY
BANKRUPT,EXCELLENT,PRESUMABLY
BANKRUPTCIES,EXCELLING,PRESUME
BANKRUPTCY,EXCELS,PRESUMED
BANKRUPTED,EXCEPTIONAL,PRESUMES
BANKRUPTING,EXCEPTIONALLY,PRESUMING
BANKRUPTS,EXCITED,PRESUMPTION
BANS,EXCITEMENT,PRESUMPTIONS
BARRED,EXCITING,PROBABILISTIC
BARRIER,EXCLUSIVE,PROBABILITIES
BARRIERS,EXCLUSIVELY,PROBABILITY
BOTTLENECK,EXCLUSIVENESS,PROBABLE
BOTTLENECKS,EXCLUSIVES,PROBABLY
BOYCOTT,EXCLUSIVITY,RANDOM
BOYCOTTED,EXEMPLARY,RANDOMIZE
BOYCOTTING,FANTASTIC,RANDOMIZED
BOYCOTTS,FAVORABLE,RANDOMIZES
BREACH,FAVORABLY,RANDOMIZING
BREACHED,FAVORED,RANDOMLY
BREACHES,FAVORING,RANDOMNESS
BREACHING,FAVORITE,REASSESS
BREAK,FAVORITES,REASSESSED
BREAKAGE,FRIENDLY,REASSESSES
BREAKAGES,GAIN,REASSESSING
BREAKDOWN,GAINED,REASSESSMENT
BREAKDOWNS,GAINING,REASSESSMENTS
BREAKING,GAINS,RECALCULATE
BREAKS,GOOD,RECALCULATED
BRIBE,GREAT,RECALCULATES
BRIBED,GREATER,RECALCULATING
BRIBERIES,GREATEST,RECALCULATION
BRIBERY,GREATLY,RECALCULATIONS
BRIBES,GREATNESS,RECONSIDER
BRIBING,HAPPIEST,RECONSIDERED
BRIDGE,HAPPILY,RECONSIDERING
BROKEN,HAPPINESS,RECONSIDERS
BURDEN,HAPPY,REEXAMINATION
BURDENED,HIGHEST,REEXAMINE
BURDENING,HONOR,REEXAMINING
BURDENS,HONORABLE,REINTERPRET
BURDENSOME,HONORED,REINTERPRETATION
BURNED,HONORING,REINTERPRETATIONS
CALAMITIES,HONORS,REINTERPRETED
CALAMITOUS,IDEAL,REINTERPRETING
CALAMITY,IMPRESS,REINTERPRETS
CANCEL,IMPRESSED,REVISE
CANCELED,IMPRESSES,REVISED
CANCELING,IMPRESSING,RISK
CANCELLATION,IMPRESSIVE,RISKED
CANCELLATIONS,IMPRESSIVELY,RISKIER
CANCELLED,IMPROVE,RISKIEST
CANCELLING,IMPROVED,RISKINESS
CANCELS,IMPROVEMENT,RISKING
CARELESS,IMPROVEMENTS,RISKS
CARELESSLY,IMPROVES,RISKY
CARELESSNESS,IMPROVING,ROUGHLY
CATASTROPHE,INCREDIBLE,RUMORS
CATASTROPHES,INCREDIBLY,SEEMS
CATASTROPHIC,INFLUENTIAL,SELDOM
CATASTROPHICALLY,INFORMATIVE,SELDOMLY
CAUTION,INGENUITY,SOMETIME
CAUTIONARY,INNOVATE,SOMETIMES
CAUTIONED,INNOVATED,SOMEWHAT
CAUTIONING,INNOVATES,SOMEWHERE
CAUTIONS,INNOVATING,SPECULATE
CEASE,INNOVATION,SPECULATED
CEASED,INNOVATIONS,SPECULATES
CEASES,INNOVATIVE,SPECULATING
CEASING,INNOVATIVENESS,SPECULATION
CENSURE,INNOVATOR,SPECULATIONS
CENSURED,INNOVATORS,SPECULATIVE
CENSURES,INSIGHTFUL,SPECULATIVELY
CENSURING,INSPIRATION,SPORADIC
CHALLENGE,INSPIRATIONAL,SPORADICALLY
CHALLENGED,INTEGRITY,SUDDEN
CHALLENGES,INVENT,SUDDENLY
CHALLENGING,INVENTED,SUGGEST
CHARGEOFFS,INVENTING,SUGGESTED
CIRCUMVENT,INVENTION,SUGGESTING
CIRCUMVENTED,INVENTIONS,SUGGESTS
CIRCUMVENTING,INVENTIVE,SUSCEPTIBILITY
CIRCUMVENTION,INVENTIVENESS,TENDING
CIRCUMVENTIONS,INVENTOR,TENTATIVE
CIRCUMVENTS,INVENTORS,TENTATIVELY
CLAIMING,LEADERSHIP,TURBULENCE
CLAIMS,LEADING,UNCERTAIN
CLAWBACK,LOYAL,UNCERTAINLY
CLOSED,LUCRATIVE,UNCERTAINTIES
CLOSEOUT,MERITORIOUS,UNCERTAINTY
CLOSEOUTS,OPPORTUNITIES,UNCLEAR
CLOSING,OPPORTUNITY,UNCONFIRMED
CLOSINGS,OPTIMISTIC,UNDECIDED
CLOSURE,OUTPERFORM,UNDEFINED
CLOSURES,OUTPERFORMED,UNDESIGNATED
COERCE,OUTPERFORMING,UNDETECTABLE
COERCED,OUTPERFORMS,UNDETERMINABLE
COERCES,PERFECT,UNDETERMINED
COERCING,PERFECTED,UNDOCUMENTED
COERCION,PERFECTLY,UNEXPECTED
COERCIVE,PERFECTS,UNEXPECTEDLY
COLLAPSE,PLEASANT,UNFAMILIAR
COLLAPSED,PLEASANTLY,UNFAMILIARITY
COLLAPSES,PLEASED,UNFORECASTED
COLLAPSING,PLEASURE,UNFORSEEN
COLLISION,PLENTIFUL,UNGUARANTEED
COLLISIONS,POPULAR,UNHEDGED
COLLUDE,POPULARITY,UNIDENTIFIABLE
COLLUDED,POSITIVE,UNIDENTIFIED
COLLUDES,POSITIVELY,UNKNOWN
COLLUDING,PREEMINENCE,UNKNOWNS
COLLUSION,PREEMINENT,UNOBSERVABLE
COLLUSIONS,PREMIER,UNPLANNED
COLLUSIVE,PREMIERE,UNPREDICTABILITY
COMPLAIN,PRESTIGE,UNPREDICTABLE
COMPLAINED,PRESTIGIOUS,UNPREDICTABLY
COMPLAINING,PROACTIVE,UNPREDICTED
COMPLAINS,PROACTIVELY,UNPROVED
COMPLAINT,PROFICIENCY,UNPROVEN
COMPLAINTS,PROFICIENT,UNQUANTIFIABLE
COMPLICATE,PROFICIENTLY,UNQUANTIFIED
COMPLICATED,PROFITABILITY,UNRECONCILED
COMPLICATES,PROFITABLE,UNSEASONABLE
COMPLICATING,PROFITABLY,UNSEASONABLY
COMPLICATION,PROGRESS,UNSETTLED
COMPLICATIONS,PROGRESSED,UNSPECIFIC
COMPULSION,PROGRESSES,UNSPECIFIED
CONCEALED,PROGRESSING,UNTESTED
CONCEALING,PROSPERED,UNUSUAL
CONCEDE,PROSPERING,UNUSUALLY
CONCEDED,PROSPERITY,UNWRITTEN
CONCEDES,PROSPEROUS,VAGARIES
CONCEDING,PROSPERS,VAGUE
CONCERN,REBOUND,VAGUELY
CONCERNED,REBOUNDED,VAGUENESS
CONCERNS,REBOUNDING,VAGUENESSES
CONCILIATING,RECEPTIVE,VAGUER
CONCILIATION,REGAIN,VAGUEST
CONCILIATIONS,REGAINED,VARIABILITY
CONDEMN,REGAINING,VARIABLE
CONDEMNATION,RESOLVE,VARIABLES
CONDEMNATIONS,REVOLUTIONIZE,VARIABLY
CONDEMNED,REVOLUTIONIZED,VARIANCE
CONDEMNING,REVOLUTIONIZES,VARIANCES
CONDEMNS,REVOLUTIONIZING,VARIANT
CONDONE,REWARD,VARIANTS
CONDONED,REWARDED,VARIATION
CONFESS,REWARDING,VARIATIONS
CONFESSED,REWARDS,VARIED
CONFESSES,SATISFACTION,VARIES
CONFESSING,SATISFACTORILY,VARY
CONFESSION,SATISFACTORY,VARYING
CONFINE,SATISFIED,VOLATILE
CONFINED,SATISFIES,VOLATILITIES
CONFINEMENT,SATISFY,VOLATILITY
CONFINEMENTS,SATISFYING,hold 
CONFINES,SMOOTH,neutral
CONFINING,SMOOTHING,market perform
CONFISCATE,SMOOTHLY,
CONFISCATED,SMOOTHS,
CONFISCATES,SOLVES,
CONFISCATING,SOLVING,
CONFISCATION,SPECTACULAR,
CONFISCATIONS,SPECTACULARLY,
CONFLICT,STABILITY,
CONFLICTED,STABILIZATION,
CONFLICTING,STABILIZATIONS,
CONFLICTS,STABILIZE,
CONFRONT,STABILIZED,
CONFRONTATION,STABILIZES,
CONFRONTATIONAL,STABILIZING,
CONFRONTATIONS,STABLE,
CONFRONTED,STRENGTH,
CONFRONTING,STRENGTHEN,
CONFRONTS,STRENGTHENED,
CONFUSE,STRENGTHENING,
CONFUSED,STRENGTHENS,
CONFUSES,STRENGTHS,
CONFUSING,STRONG,
CONFUSINGLY,STRONGER,
CONFUSION,STRONGEST,
CONSPIRACIES,SUCCEED,
CONSPIRACY,SUCCEEDED,
CONSPIRATOR,SUCCEEDING,
CONSPIRATORIAL,SUCCEEDS,
CONSPIRATORS,SUCCESS,
CONSPIRE,SUCCESSES,
CONSPIRED,SUCCESSFUL,
CONSPIRES,SUCCESSFULLY,
CONSPIRING,SUPERIOR,
CONTEMPT,SURPASS,
CONTEND,SURPASSED,
CONTENDED,SURPASSES,
CONTENDING,SURPASSING,
CONTENDS,TRANSPARENCY,
CONTENTION,TREMENDOUS,
CONTENTIONS,TREMENDOUSLY,
CONTENTIOUS,UNMATCHED,
CONTENTIOUSLY,UNPARALLELED,
CONTESTED,UNSURPASSED,
CONTESTING,UPTURN,
CONTRACTION,UPTURNS,
CONTRACTIONS,VALUABLE,
CONTRADICT,VERSATILE,
CONTRADICTED,VERSATILITY,
CONTRADICTING,VIBRANCY,
CONTRADICTION,VIBRANT,
CONTRADICTIONS,WIN,
CONTRADICTORY,WINNER,
CONTRADICTS,WINNERS,
CONTRARY,WINNING,
CONTROVERSIAL,WORTHY,
CONTROVERSIES,bull,
CONTROVERSY,bull run,
CONVICT,bullock,
CONVICTED,mart,
CONVICTING,marketing,
CONVICTION,bullish,
CONVICTIONS,metador,
CORRECTED,taurine,
CORRECTING,bullfight,
CORRECTION,butcher,
CORRECTIONS,trade,
CORRECTS,flea market,
CORRUPT,marketable,
CORRUPTED,bazaar,
CORRUPTING,moo,
CORRUPTION,bullion,
CORRUPTIONS,rally,
CORRUPTLY,slaughter,
CORRUPTNESS,stallholder,
COSTLY,bulla,
COUNTERCLAIM,long,
COUNTERCLAIMED,pit bull,
COUNTERCLAIMING,ATH,
COUNTERCLAIMS,arbitrage,
COUNTERFEIT,bullfighting,
COUNTERFEITED,buy,
COUNTERFEITER,outperform,
COUNTERFEITERS,sector perform,
COUNTERFEITING,hot bulles,
COUNTERFEITS,overweight,
COUNTERMEASURE,positive,
COUNTERMEASURES,strong buy,
CRIME,,
CRIMES,,
CRIMINAL,,
CRIMINALLY,,
CRIMINALS,,
CRISES,,
CRISIS,,
CRITICAL,,
CRITICALLY,,
CRITICISM,,
CRITICISMS,,
CRITICIZE,,
CRITICIZED,,
CRITICIZES,,
CRITICIZING,,
CRUCIAL,,
CRUCIALLY,,
CULPABILITY,,
CULPABLE,,
CULPABLY,,
CUMBERSOME,,
CURTAIL,,
CURTAILED,,
CURTAILING,,
CURTAILMENT,,
CURTAILMENTS,,
CURTAILS,,
CUT,,
CUTBACK,,
CUTBACKS,,
CYBERATTACK,,
CYBERATTACKS,,
CYBERBULLYING,,
CYBERCRIME,,
CYBERCRIMES,,
CYBERCRIMINAL,,
CYBERCRIMINALS,,
DAMAGE,,
DAMAGED,,
DAMAGES,,
DAMAGING,,
DAMPEN,,
DAMPENED,,
DANGER,,
DANGEROUS,,
DANGEROUSLY,,
DANGERS,,
DEADLOCK,,
DEADLOCKED,,
DEADLOCKING,,
DEADLOCKS,,
DEADWEIGHT,,
DEADWEIGHTS,,
DEBARMENT,,
DEBARMENTS,,
DEBARRED,,
DECEASED,,
DECEIT,,
DECEITFUL,,
DECEITFULNESS,,
DECEIVE,,
DECEIVED,,
DECEIVES,,
DECEIVING,,
DECEPTION,,
DECEPTIONS,,
DECEPTIVE,,
DECEPTIVELY,,
DECLINE,,
DECLINED,,
DECLINES,,
DECLINING,,
